Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Constituency,District
Chinnappa K,DMK,4,Graduate Professional,73,"Rs 1,46,71,830 ~ 1 Crore+","Rs 29,95,179 ~ 29 Lacs+",Ariyalur,Ariyalur
Deva P,IND,0,12th Pass,40,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,Ariyalur,Ariyalur
Durai.Manivel,Amma Makkal Munnettra Kazagam,1,8th Pass,61,"Rs 2,92,01,267 ~ 2 Crore+","Rs 2,24,50,000 ~ 2 Crore+",Ariyalur,Ariyalur
Jawahar P,Indiya Jananayaka Katchi,0,Doctorate,40,"Rs 43,84,239 ~ 43 Lacs+","Rs 31,00,000 ~ 31 Lacs+",Ariyalur,Ariyalur
Kumar J,IND,0,12th Pass,32,"Rs 15,00,274 ~ 15 Lacs+",Rs 0 ~,Ariyalur,Ariyalur
Manikannan M,IND,0,12th Pass,44,"Rs 7,81,000 ~ 7 Lacs+","Rs 4,70,000 ~ 4 Lacs+",Ariyalur,Ariyalur
Rajendran S,AIADMK,0,8th Pass,61,"Rs 1,07,81,933 ~ 1 Crore+",Rs 0 ~,Ariyalur,Ariyalur
Ramesh K,IND,0,Post Graduate,44,"Rs 12,49,583 ~ 12 Lacs+","Rs 3,15,238 ~ 3 Lacs+",Ariyalur,Ariyalur
Ravichandran S,IND,0,10th Pass,29,"Rs 4,99,707 ~ 4 Lacs+",Rs 0 ~,Ariyalur,Ariyalur
Savarianandham V,BSP,0,Graduate Professional,45,"Rs 10,300 ~ 10 Thou+",Rs 0 ~,Ariyalur,Ariyalur
Sivathasan V,IND,0,12th Pass,39,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,Ariyalur,Ariyalur
Suguna Kumar,Naam Tamilar Katchi,0,10th Pass,34,"Rs 32,36,500 ~ 32 Lacs+",Rs 0 ~,Ariyalur,Ariyalur
Balu K,Pattali Makkal Katchi,0,Graduate Professional,50,"Rs 6,50,44,938 ~ 6 Crore+","Rs 1,66,12,865 ~ 1 Crore+",Jayankondam,Ariyalur
Kannan Ka So Ka,DMK,21,Post Graduate,43,"Rs 12,63,49,042 ~ 12 Crore+","Rs 19,89,236 ~ 19 Lacs+",Jayankondam,Ariyalur
Kesavarajan V K,IND,0,Graduate Professional,43,"Rs 56,97,436 ~ 56 Lacs+",Rs 0 ~,Jayankondam,Ariyalur
Mahalingam Neela,Naam Tamilar Katchi,0,Graduate,40,"Rs 56,24,000 ~ 56 Lacs+","Rs 24,68,498 ~ 24 Lacs+",Jayankondam,Ariyalur
Neelamegam K,BSP,0,12th Pass,57,"Rs 52,000 ~ 52 Thou+","Rs 50,000 ~ 50 Thou+",Jayankondam,Ariyalur
Rajkumar S,IND,0,12th Pass,46,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,Jayankondam,Ariyalur
Samuvel Martin A,IND,0,Graduate,28,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,Jayankondam,Ariyalur
Sathishkumar R,IND,0,Graduate,32,"Rs 50,60,681 ~ 50 Lacs+",Rs 0 ~,Jayankondam,Ariyalur
Sedhuraman R,IND,0,10th Pass,47,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,Jayankondam,Ariyalur
Siva J K,Amma Makkal Munnettra Kazagam,0,Graduate,41,"Rs 2,09,37,500 ~ 2 Crore+","Rs 61,00,000 ~ 61 Lacs+",Jayankondam,Ariyalur
Sudarvizhi K,IND,0,Graduate Professional,42,"Rs 1,26,000 ~ 1 Lacs+",Rs 0 ~,Jayankondam,Ariyalur
Chellapppan.T,IND,0,10th Pass,40,"Rs 7,96,782 ~ 7 Lacs+",Rs 0 ~,Royapuram,Chennai
Dhanasekaran.G,IND,0,Graduate Professional,50,"Rs 71,14,780 ~ 71 Lacs+",Rs 0 ~,Royapuram,Chennai
Dinakaran.S,IND,0,Graduate Professional,47,"Rs 36,85,587 ~ 36 Lacs+",Rs 0 ~,Royapuram,Chennai
Gokul.G,IND,0,Post Graduate,30,"Rs 30,71,876 ~ 30 Lacs+","Rs 15,00,000 ~ 15 Lacs+",Royapuram,Chennai
Gunasekaran.S,Makkal Needhi Maiam,0,10th Pass,65,"Rs 50,94,662 ~ 50 Lacs+",Rs 0 ~,Royapuram,Chennai
James Martin.M,Tamil Nadu Ilangyar Katchi,0,Post Graduate,33,"Rs 17,97,949 ~ 17 Lacs+",Rs 0 ~,Royapuram,Chennai
Jayakumar.D,AIADMK,0,Graduate Professional,60,"Rs 1,79,02,919 ~ 1 Crore+","Rs 1,00,000 ~ 1 Lacs+",Royapuram,Chennai
Kalidass.K.R,IND,0,Graduate Professional,29,"Rs 2,52,365 ~ 2 Lacs+","Rs 8,79,257 ~ 8 Lacs+",Royapuram,Chennai
Kamali.S,Naam Tamilar Katchi,1,10th Pass,43,"Rs 1,40,800 ~ 1 Lacs+",Rs 0 ~,Royapuram,Chennai
Karthick.V,IND,0,Graduate Professional,26,"Rs 4,76,500 ~ 4 Lacs+",Rs 0 ~,Royapuram,Chennai
Karunakaran.H,IND,0,Graduate Professional,42,"Rs 7,03,344 ~ 7 Lacs+",Rs 0 ~,Royapuram,Chennai
Kumar.S,BSP,0,5th Pass,43,"Rs 4,08,500 ~ 4 Lacs+",Rs 0 ~,Royapuram,Chennai
